zolai,english,pos,cefr,translations,synonyms,antonyms,related,example_zo,example_en,usage_notes,sources,book_count,first_book
dei,brought,n,A1,brought | missing | entered | bed | baal,,,"sungah, biakinn, tapa, inndei, bawl",Inn dei tungnung kote kikhopna-ah meivak tampi a om hi.,"And there were many lights in the upper chamber, where they were gathered together.",Attested 1250× across 16 Bible books.,"Tongdot-DLH, Tongdot-VZT, Dongdot",11,GEN
deice,"(vanleeng tung)tui khal hawk khia hi, deice",transitive verb,C2,(vanleeng tung)tui khal hawk khia hi | deice,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
deidai,within,n,B1,within | gall | asps | yet | meat,,,,a gil sungah a kha mahmah an suakin,,Attested 40× across 2 Bible books.,,1,JOB
deidan,kept,n,B2,kept | base | before | people | according,,,"kibangin, loin, note, kuamah, khen",mi a deidan na hi uh,,Attested 495× across 8 Bible books.,Tongdot-DLH,1,MAL
deidanna,fear,n,A2,fear | tribes | serve | out | israel,,,,Pasian in eite leh Gentail mite deidanna hong neilo,,Attested 65× across 4 Bible books.,"Dongdot, zomidictionary.app",2,2CH
deify,(v.): pathian vek ih tuah.,verb,C2,(v.): pathian vek ih tuah.,,,,,,,"Tongdot-DLH, Tongdot-MCPG, Dr. Dal Lian Haokip",,
deign,(v.): khawruat hraam.,verb,C2,(v.): khawruat hraam.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
deih,desire,v,A1,thou | god | hath | missing | saith,,"mite, nawn, ding","deihlohna, deihhuailo takin, deihhuaina, deihteel, deihsaknate","“Topa in a deih hi,” a ci uh hi.","And they said, The Lord hath need of him.",Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, Tongdot-VZT, zomidictionary.app",,GEN
"deih
ut",set one’s heart on ,,C2,set one’s heart on ,,,,,,,Tongdot-DLH,,
deihbang,sabbath,n,C2,sabbath | holy | pleasure | day | call,"sabbath, peng, motpau",,,Note in Sabbath siangtho sakin,,Attested 105× across 2 Bible books.,,,
deihdan,delectable,,C2,delectable,,,,Yanni-in deihdan pha nei hi.,,,Dongdot,,
deihdeih,righteous,n,B1,righteous | come | desire | granted | fear,,,"khrih, tung",Migilote tungah a kihtaktak uh tung,,Attested 225× across 6 Bible books.,,1,PRO
deihdeihin,vessels,n,C2,vessels | diverse | another | royal | wine,,,,Kham hai nam tuamtuamte tawh zu kihawm,,Attested 110× across 2 Bible books.,,,
deihdeihte,days,n,C2,days | ago | set | mind | found,,,,Tuma ni thum lai-in a mang na late ahih leh,,Attested 110× across 2 Bible books.,,,
deihdeuh,favourite,n & a,C2,,,,,Dan a ling deihdeuh ding hi.,,,,,
deihgenna,suggest,v,C2,,,,,,,,,,
deihhuai,desirable,a,A1,ground | favoured | choice | fine | rather,,,"deihlohna, deihhuailo takin, deihhuaina, deihteel, deihsaknate","Kha Siangtho in hong sian’ thosak deihhuai biakna ahi Gentailte pia dingin,","Nevertheless, brethren, I have written the more boldly unto you in some sort, as putting you in mind, because of the grace that is given to me of God,",Adjective — place before noun or after verb as predicate.,"Tongdot-DLH, Dongdot, zomidictionary.app",,GEN
"deihhuai
etlawm",kicky,,C2,kicky,,,,,,,Tongdot-DLH,,
"deihhuai
hamphatpihhuai",desirable,,C2,desirable,,,,,,,Tongdot-DLH,,
"deihhuai
lawphuai
uthuai",enchanting,,C2,enchanting,,,,,,,Tongdot-DLH,,
"deihhuai
lungkimhuai
noptuak",pleasing,,C2,pleasing,,,,,,,Tongdot-DLH,,
"deihhuai
ngaihbaang",pre-possessing   ,,C2,pre-possessing   ,,,,,,,Tongdot-DLH,,
"deihhuai
ngaihbang",personable,,C2,personable,,,,,,,Tongdot-DLH,,
deihhuailo,undersireable,a,C2,meet | sacrifice | abomination | egyptians | speaketh,,,"deihlohna, deihhuailo takin, deihhuaina, deihteel, deihsaknate",deihhuailo thu sagih tak om ahih manin kam khum takin,,Adjective — place before noun or after verb as predicate.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
deihhuaina,charm,n,A1,eyes | see | tree | woman | saw,,,"deihlohna, deihhuailo takin, deihteel, deihsaknate, deihhuai","Moses in, “Na cih bang hita hen! Na maitang kong",,Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,GEN
deihhuaisakna,attraction,n,C2,,,,,,,,,,
deihhuaizaw,gold,n,C2,gold | yea | much | fine | sweeter,,,"khuailuzu, tuate, kham, taakte, khumzaw",Kham sangin ahi zongin kham hoihpen sang ahi zongin tuate deihhuaizaw,,Attested 102× across 3 Bible books.,zomidictionary.app,,
deihin,should,n,A1,should | desire | abundance | opened | lovest,,,"thuman, hang, cih, tawntung, zuauthu","Mite aw, ka minphatna in bang tanvei daina thuak ding",,Attested 1329× across 27 Bible books.,,11,DEU
deihkik,came,v,B1,came | king | women | custody | shaashgaz,,,,Nitakin kumpipa kiangah va pai,,Attested 175× across 2 Bible books.,,1,EST
deihkim,wanted by every one,,C2,wanted by every one,,,,,,,Tongdot-VZT,,
deihkin,urgent,,C2,urgent,,,,,,,Dongdot,,
deihlam,missing,n,C2,missing,,,thei,"ka seploh ka bawl lohnapi-ah ka deihlam hong thei na hih leh,",,Attested 10× across 4 Bible books.,,,
deihlo,dislike,v,C2,wicked | hateth | hand | day | might,,,"deihlohna, deihhuailo takin, deihhuaina, deihteel, deihsaknate",nei mipa pen lo-a ante,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-TKD, Tongdot-DLH, zomidictionary.app",,
deihloh,law,n,C2,law | members | wicked | mouth | most,,,"jerusalem, zongin",A kampaute khum zungzung a,,Attested 565× across 12 Bible books.,,,
deihlohna,aversion,n,C2,should | how | told | there | mockers,,,"deihhuailo takin, deihhuaina, deihteel, deihsaknate, deihhuai","Tua ciangin keimah in, “Hih mite mihai hi",,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,JUD
"deihlohna
thukimlohna",disapprobation,,C2,disapprobation,,,,,,,Tongdot-TKD,,
deihlohteng,surely,n,C2,surely | vanity | sacrifice | bullocks | gilgal,,,,Gilead gamah milim biakna om,,Attested 110× across 2 Bible books.,,,
deihloin,good,n,C2,good | should | house | ruler | off,,,"note, thuhoih, deih, israel","mi khualloin, hehpihna neiloin, mi gensia-in, ngongtatin, kihtakhuai-in, thuhoih deihloin,","Without natural affection, trucebreakers, false accusers, incontinent, fierce, despisers of those that are good,",Attested 520× across 8 Bible books.,,,
deihlote,hateth,n,C2,hateth | own | house | gifts | live,,,,A manloin sum ngahna in innsung lungkhamsak,,Attested 70× across 2 Bible books.,,,
deihlua,money,n,C2,money | root | evil | while | some,,,,upna panun pialkhia-in gimna lungkhamna tampi,,Attested 125× across 2 Bible books.,,,
deihlualo,filthy,n,C2,filthy | lucre | patient | brawler | covetous,,,,sum a deihlualo mite hi ding uh hi.,,Attested 70× across 2 Bible books.,,,
deihluat,wilderness,n,B1,wilderness | lusted | exceedingly | tempted | god,,,,Hih leitung nate leh Pasian tawh,,Attested 100× across 2 Bible books.,,1,PSA
deihluatin,love,n,C2,love | world | neither | things | any,,,,Hih leitung nate leh Pasian tawh,,Attested 105× across 2 Bible books.,,,
deihluatna,zion,n,A2,zion | out | escape | mount | zeal,,,"sungah, nangma, inn, lungsim, note",Nangma inn ka deihluatna mei bangin ka sungah sa,,Attested 552× across 17 Bible books.,Tongdot-DLH,2,2KI
deihluatnate,might,n,C2,might | partakers | divine | nature | having,,,,Pasian' pianziate na nei uh hi.,,Attested 135× across 2 Bible books.,,,
deihna,besoin,n,A1,missing | god | desire | lord | heart,,hong,"deihlohna, deihhuailo takin, deihhuaina, deihteel, deihsaknate",Topa deihna bang bekin na khempeuh a piang hi.,"Who is he that saith, and it cometh to pass, when the Lord commandeth it not?",Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, zomidictionary.app, TongDot",,EXO
"deihna
deihsakna
pahtaakna
deihdaan",liking,,C2,liking,,,,,,,Tongdot-DLH,,
"deihna
lunggulhna
ngetna
kisapna",desire,,C2,desire,,,,,,,Tongdot-TKD,,
"deihna
pahtakna",liking ,,C2,liking ,,,,,,,Tongdot-TKD,,
"deihna
utna",whim,,C2,whim,,,,,,,Tongdot-DLH,,
deihnana,kedar,n,C2,kedar | gathered | together | rams | nebaioth,,,,Kedar gam tuuhonte khempeuh nang kiangah hong kipua ding,,Attested 115× across 2 Bible books.,,,
deihnate,giving,n,A2,giving | grant | missing | thou | shalt,,,"leitung, amau, sotsak, sawmna, tangtungsak",migilopa' deihnate tangtungsak kei in la,,Attested 672× across 13 Bible books.,,3,1KI
deihnawnloh,rubbish,,C2,rubbish,,,,,,,Tongdot-DLH,,
deihnawnlohna,abdication,n,C2,,,,,,,,,,
deihngetna,application,,C2,application,,,,– Kipawlna min-tawh deihngetna (Request),,,Tongdot-DLH,,
deihpa,gate,n,B2,gate | hate | rebuketh | abhor | speaketh,,,,Note in thukhen zumah thutang a deihpa na mudah uh,,Attested 125× across 6 Bible books.,,1,AMO
deihpeen,favourite,,C2,favourite,,,,,,,Tongdot-DLH,,
deihpha,profiting,,C1,profiting | thyself | wholly | may | appear,,,,Na khan’tohna mi khempeuh mai-ah,,,,1,1TI
deihpih,sympathetic,v,C2,sympathetic,,,,Deihpih Zogam leh Kawlpi ciang ah Guitarist.,,,Dongdot,,
deihsak,favour,n,B1,justify | rod | word | day | thou,,,"deihlohna, deihhuailo takin, deihhuaina, deihteel, deihsaknate",Tua ciangin amah in a mit panin a tuamna thakhatin,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, zomidictionary.app",,JOB
deihsak-mahmah,hope,n,C2,,,,,,,,,,
deihsakin,desire,n,C2,desire | prayer | god | israel | might,,,,"Sanggamte aw, i mipihte in hotkhiatna",,Attested 65× across 2 Bible books.,,,
deihsaklohna,apathy,n,C2,,,,,Deihna bulpi-ah Zomi khangthakte-in paukam akici language minvawhna-tawh buaiding deihsaklohna hipen-a,,,,,
deihsakluatna,rest,,B1,rest | cause | fury | comforted | know,,,,1 aa ( his ) Ama neihsa genna 2 aam,,,,1,EZK
deihsakna,sympathy,n,B1,peace | favour | missing | kisses | tongue,,,"deihlohna, deihhuailo takin, deihhuaina, deihteel, deihsaknate",man taktak na theihna ding deihsakna tawh ka hong gelh ahi hi.,,Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,EST
deihsaknate,compliments,n,B1,knowledge | depart | desire | ways | therefore,,,"deihlohna, deihhuailo takin, deihhuaina, deihteel, deihhuai",Migilote in Pasian nawlkhin uh,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,JOB
deihsakte,depart,n,C2,depart | desire | knowledge | ways | therefore,,,,“Migilote in Pasian nawlkhin uh,,Attested 55× across 2 Bible books.,,,
deihsaktuamna,favour,n,C2,,,,,,,,,,
deihsakzaw,tongues,n,C2,tongues | spake | rather | prophesied | greater,pautheih,,,"genthei pah ding om ahih kei buang leh, pau lamdang",,Attested 120× across 2 Bible books.,,,
deihsakzawkna,preference,n,C2,,,,,,,,,,
deihsakzia,gracious,a,C2,gracious,,,"deihlohna, deihhuailo takin, deihhuaina, deihteel, deihsaknate",mang thei mi ahihna dingun na gen in.,,Adjective — place before noun or after verb as predicate.,zomidictionary.app,,
deihtakin,fasting,n,B2,fasting | seek | prayer | supplications | sackcloth,,,,Naupangte a hai gamtat a ngeina hi,,Attested 65× across 2 Bible books.,,1,DAN
deihte,put,n,B1,put | thou | glad | love | salvation,"itna, itin, uppih",,"nangma, sak, lian, siatna, nungkiksak",Pilna a deihte in kithuhilh ding ut,,Attested 740× across 7 Bible books.,,5,PSA
deihteel,choice,n,C2,choice,,,"deihlohna, deihhuailo takin, deihhuaina, deihsaknate, deihhuai",Tua ciangin a teelna dingun lai ai san uh,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
deihteelna,selective,a,C2,selective,,,"deihlohna, deihhuailo takin, deihhuaina, deihteel, deihsaknate","Noah in tapa thum, Shem, Ham, leh Jafeth a nei hi.","And Noah begat three sons, Shem, Ham, and Japheth.",Adjective — place before noun or after verb as predicate.,zomidictionary.app,,
deihteltheihna,option,n,C2,option,,,"deihlohna, deihhuailo takin, deihhuaina, deihteel, deihsaknate",Bang hang hiam cih leh note in utna lungsim na,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
deihteng,would,n,C2,would | came | asketh | man | missing,"theinuam, noplohteng, sucip",,pai,Pasian' deihteng sepding a hanciamte Pasian in lungkimna ngahsak ding,,Attested 360× across 8 Bible books.,,,
deihtheih,things,n,C2,things | thou | canst | desire | compared,,,,A manpha pen suangmanpha nangawn sangin pilna manpha zaw lai,,Attested 65× across 2 Bible books.,,,
deihthuah,saith,n,C2,saith | better | sight | eyes | wandering,,,,huihpi nungdelh mah tawh a kibang bek ahi hi.,,Attested 75× across 4 Bible books.,,,
deihzaw,gold,n,B1,gold | selah | acceptable | greater | tongue,,,"sangin, deih, thuman, genna, kham","Topa in biakpiakna sangin, thuman thutang deihzaw hi.",To do justice and judgment is more acceptable to the,Attested 530× across 17 Bible books.,Tongdot-DLH,3,PSA
deihzawkna,preference,n,C2,hath | son | firstborn | make | beloved,,,"deihlohna, deihhuailo takin, deihhuaina, deihteel, deihsaknate",ci-in hong ngaihsun kei un la,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
deil,"dawi a kheltat mi khatpeuh, n. dawi, a kheltat mi khatpeuh.",n,C2,"dawi a kheltat mi khatpeuh | n. dawi, a kheltat mi khatpeuh. | dawi, a kheltat mi khatpeuh",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
deina,separation,n,B1,separation | five | hundred | reeds | long,,,,Tua laitakin biakinn sung deina puan,,Attested 225× across 4 Bible books.,"Dongdot, zomidictionary.app",1,EZK
deineu,room,,C2,room,,,,,,,Dongdot,,
deipi,temple,n,B1,temple | cherubims | made | face | there,,,"kongkhak, biakinn",Biakinn deipi kongkhak khuamte pen a siik kikim vive ahi hi.,"The posts of the temple were squared, and the face of the sanctuary; the appearance of the one as the appearance of the other.",Attested 195× across 2 Bible books.,,1,EZK
deist,(n.): Pathian a um ti zumtu.,noun,C2,(n.): Pathian a um ti zumtu.,,,,Ama'n amah leh amah deist kici hi.,,,"TongDot, Tongdot-TKD, Dongdot",,
deisung,came,n,C2,came | house | lay | bed | bedchamber,,,,"om laitakin amaute in amah satin that uh a,",,Attested 115× across 2 Bible books.,,,
deitan,barricade,n,C2,,,,,,,,,,
deite,thou,n,A1,thou | remaining | house | chambers | shalt,,,"sungah, biakinn, bawl, sem, nasep",a sung leh a pua kultal tui tawh zut in.,,Attested 363× across 6 Bible books.,,3,GEN
deity,"(n) Pasian, Pasian banga akingaihsun mi khat",n|noun,C2,"(n) Pasian, Pasian banga akingaihsun mi khat",,,,Pasian ahihna (deity/divinity) khat beek paikhia (surrender) lo hi.,,,"Tongdot-DLH, Tongdot-MCPG, Dr. Dal Lian Haokip",,
dejavu,dejavu,noun,C2,muhngeiloh tuahngeiloh thu piang khat akimat zet in tuahkhak bang a thuakkhakna | dejavu,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
deject,(v.t.): ညိုးငယ်သည်။ စိတ်ပျက်အားလျော့စေသည်။,verb,C2,(v.t.): ညိုးငယ်သည်။ စိတ်ပျက်အားလျော့စေသည်။,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
dejected,(adj) aipuang lo mi; thasia mi; riahsia mi.,adj,C2,(adj) aipuang lo mi; thasia mi; riahsia mi.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
dejure,"thu khun bang in, dejure",adjective,C2,thu khun bang in | dejure,,,,Thusuahte en suksuk le hang kiteelna tawh kisai thubulpi thulut,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
dek,die,n,A1,die | saith | according | man | hard,,"peuhmah, ding","gamta, peuhmah, lo, banga, gen",tua banga gamta ding hi dek peuhmah lo hi.,,Attested 486× across 10 Bible books.,Tongdot-VZT,13,GEN
dekapolis,followed,,B2,followed | things | galilee | decapolis | great,,,,,,,,2,MAT
dekdak,hand,n,C2,hand | ate | mouth | sweet | honey,,,,ahi zongin ka nekkhit ciangin ka gil sung thuk velvalsak hi.,,Attested 110× across 2 Bible books.,,,
dekdek,gilead,n,A1,gilead | gates | fear | judah | did,"spain, zinna",,"gam, huihpi, behte, gilead, pha",amah in a behte zawnin ni sagih sung amah delh,,Attested 253× across 8 Bible books.,,2,GEN
dekdekte,strong,n,B1,strong | give | drink | ready | perish,,,,"A si dekdekte, khamtheihzu pia in la,",,Attested 70× across 2 Bible books.,,1,PRO
dekko,"dekko, enhi en ou",noun,C2,dekko | enhi en ou,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
deklo,hope,n,B1,hope | there | may | putteth | mouth,,,"thei, sila, kiang, ciah, uhah",Lametna om thei lai ahih manin phunphun huai pah deklo hi.,He putteth his mouth in the dust; if so be there may be hope.,Attested 504× across 10 Bible books.,,1,LAM
dekna,tell,n,B1,tell | jerusalem | find | beloved | sick,,,,"Kong thum hi, Jerusalem nungakte aw, ka ngaihno na muh",,Attested 60× across 2 Bible books.,,1,SNG
dektak,almost,adv,A2,hezekiah | groweth | near | time | few,,,"pai, jesuh, cih, hun, laitakin",Bethani khua in Jerusalem khua tawh tai nih dektak a kigamla hi.,"Now Bethany was nigh unto Jerusalem, about fifteen furlongs off:",Adverb — place before verb or at sentence start.,"Tongdot-TKD, Tongdot-DLH, Dongdot",,JDG
"dektak
phialphial",almost,,C2,almost,,,,,,,Tongdot-TKD,,
dektaka,wounded,n,C2,wounded | saw | one | heads | death,,,,Tua ahih ciangin amaute in mi sawlin Filistia uliante khempeuh khawmin,,Attested 200× across 2 Bible books.,,1,REV
dektakin,saith,,C1,saith,,,,Zanlai dektakin inn a tung hi.,,,,1,JHN
dektakna,more,n,C2,more | above | measure | prisons | frequent,,,,sih dektakna tamvei ka tuakzaw hi.,,Attested 125× across 2 Bible books.,,,
dektaksa,jesus,n,C2,jesus | answering,,,,“Jerusalem panin Jerikho khua-ah mi khat paisuk,,Attested 10× across 2 Bible books.,,,
dektakta,day,v,C2,day | goeth | away | shadows | evening,,,,i liimte sau keei ta hi.,,Attested 90× across 2 Bible books.,,,
delaiah,children,n,A2,children | akkub | delaiah | came | scribe,,,"tapa, munah, suante, nekoda, tobiah","a sawmnih-le-thumna Delaiah tung, a sawmnih-le-lina Ma-aziah tungah tu hi.","The three and twentieth to Delaiah, the four and twentieth to Maaziah.",Attested 735× across 8 Bible books.,,4,1CH
delate,"(v) phiatmai, kizangnawnlo, hoihnawnlo",verb,C2,"(v) phiatmai, kizangnawnlo, hoihnawnlo",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delay,"(n) ziakaina, zia-olna; (v) ziakai",verb,C2,"(n) ziakaina, zia-olna; (v) ziakai",,,,"Pau theih pahlohna, adiakin naupang kum tawmzaw deuhte (Delay of speech development)",,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
"delayed
late",hak,,C2,hak,,,,,,,Tongdot-VZT,,
deldel,thou,n,C2,thou | well | devils | believe | tremble,,,,Pasian khat bek om hi,,Attested 70× across 2 Bible books.,,,
delect,"(v) kawipai, lehpai (Thautang in sing kha a kawipai hi)",,C2,"(v) kawipai, lehpai (Thautang in sing kha a kawipai hi)",,,,,,,"TongDot, tongdot",,
delectate,delectation,,C2,delectation,,,,,,,Dongdot,,
delegacy,"tangmi ngeina dan-hihna, delegate",noun,C2,tangmi ngeina dan-hihna | delegate,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
delegate,"(n) palai, ai-awh, taangmi; (v) thuneihna pia",n,C2,"(n) palai, ai-awh, taangmi; (v) thuneihna pia",,,,delegate teng pai khia uhhi,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delete,(v.): phiat; phiat mang; om nawn lo sak; a kigelhsa phiatkik,verb,C2,(v.): phiat; phiat mang; om nawn lo sak; a kigelhsa phiatkik,,,,Tom in video a delete hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
deleterious,"(adj.): ningnatter thei, tthat lonak thlenter thei.",adj,C2,"(adj.): ningnatter thei, tthat lonak thlenter thei.",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delft,"adummel kizuut leibel/hai, delft",noun,C2,adummel kizuut leibel/hai | delft,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
delh,chase,v,A1,after | pursue | vexation | israel | pursued,"khit, nungah, nam",,"delhna, delhphah sah thiutheu, delhphah-buhtu tawh kibawl delhphah","Amaute delh kek in la, leitung panin nuaimang gawp in.",Persecute and destroy them in anger from under the heavens of the,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, zomidictionary.app",,GEN
delhdalh,watery,,C2,watery,,,,,,,Dongdot,,
delhin,after,n,A1,after | mine | pursued | seir | worthy,,,"pha, galte, pai, ciangdong, that",ka galte delhin ka susia,,Attested 2482× across 27 Bible books.,,12,GEN
delhkek,persecute,n,C2,persecute | destroy | anger | under | heavens,,,,"Amaute delhkek in la, leitung panin nuaimang gawp in,” ci ni.",Persecute and destroy them in anger from under the heavens of the,Attested 40× across 2 Bible books.,,,
delhkhia,hath,v,C2,hath | turned | aside | ways | pulled,,,,Amah in lam pamah hong delhkhia,,Attested 80× across 2 Bible books.,,,
delhlo,after,n,C2,after | before | none | left | israel,,,"kong, mai, galte, kuamah, pan",na galte uh nan'zawhna ding vangliatna na nei kei ding uh hi.,,Attested 369× across 6 Bible books.,,,
delhlohpi,wicked,n,C2,wicked | flee | man | pursueth | righteous,,,,mithumante ahih leh humpinelkai bangin a hang uh hi.,,Attested 50× across 2 Bible books.,,,
delhloin,after,n,C2,after | other | gods | serve | worship,,,,"Pasian dangte' nung delhloin, a na semloin na biak kei uh",,Attested 75× across 2 Bible books.,,,
delhlup,missing,,C1,missing,,,,,,,,1,LUK
delhmang,none,n,B1,none | against | sheep | away | like,,,"humpinelkai, kua, jordan, gam, paito",tuate a delhmang ding kuamah omlo ding hi.,,Attested 590× across 2 Bible books.,,1,JER
delhna,pursuit,n,A1,returned | israel | following | pursuing | pass,"ciahkikin, muak, enmishpat",,"delh, delhphah sah thiutheu, delhphah-buhtu tawh kibawl delhphah",Topa’ vantungmi’ delhna-ah a taina lampi uh mial-in nal sak in.,Let their way be dark and slippery: and let the angel of the,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,JOS
delhphah,child,n,A2,child | spread | woman | died | night,,,,Amah in delhphah kha ahih manin zanin hih numei’ tapa si hi.,And this woman's child died in the night; because she overlaid it.,Attested 200× across 4 Bible books.,"Tongdot-DLH, Dongdot, zomidictionary.app",2,1KI
delhphahin,lay,n,B1,lay | again | days | thou | shalt,,,sung,leh mangbuhman pawlkhat la in la,,Attested 395× across 2 Bible books.,,1,EZK
delhphahkha,child,v,C2,child | woman's | died | night | because,,,,Amah in delhphahkha ahih manin zanin hih numei' tapa a si hi.,And this woman's child died in the night; because she overlaid it.,Attested 55× across 2 Bible books.,,,
delhphahpuan,took,,A2,took | came | pass | morrow | thick,,,,,,,,1,2KI
delhsak,after,,B1,after | draw | out | sword | scatter,,,,Na nung hong delhsak ke'n.,,,,1,EZK
delhsuk,heaven,n,C2,heaven | pursued | mountains | laid | wait,,,,theihkholh lohin a hong man khin uh hi.,,Attested 75× across 2 Bible books.,,,
delhte,pursued,n,A1,pursued | yourselves | sought | turned | mighty,,,"zongin, pai, thum, sung, ciahkik",Tua ahih ciangin mite in Jordan lamah ngahmun dong delh uh,,Attested 510× across 4 Bible books.,,3,JOS
delhuh,joab,v,C2,joab | abishai | brother | pursued | after,,,,"pumpi sat a, nihvei sat kulloin",,Attested 160× across 2 Bible books.,,,
deliberate,"(v.): pilvaang tak in ngaihsun, ol tak leh kimtak in ngaihsun, kikum",adj,C2,"(v.): pilvaang tak in ngaihsun, ol tak leh kimtak in ngaihsun, kikum",,,,Myanmar Military Conducts Deliberate “Double-Tap” Deadly Airstrike on Chin Village,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
deliberately,(adv) tuah-hrim; ti-hrim.,,C2,(adv) tuah-hrim; ti-hrim.,,,,,,,"TongDot, tongdot",,
deliberative,"limtak ngaihsun in asem, deliberative",adjective,C2,limtak ngaihsun in asem | deliberative,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
delicacy,limcitna,n,C2,"limcitna | limcitna muanhuai lohna hih niangnuangna dam meel setsat lohna | nel dikdekna zol in nemna | n. limcitna; muanhuai lohna, hih niangnuangna, dam meel setsat lohna. | muanhuai lohna, hih niangnuangna, dam meel setsat lohna",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delicate,"(a) kisia baih, dopkul, dop khialkhial kul, to lo",adj,C2,"(a) kisia baih, dopkul, dop khialkhial kul, to lo",,,,Politics pen delicate mahmah thu khat hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delicates,delicatessen,,C2,delicatessen,,,,,,,Dongdot,,
delicatessen,"huansa an zuakna sai, delicates",noun,C2,huansa an zuakna sai | delicates,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
delicious,"(a)alimci, anamtui, aduh huai",adj,C2,"(a)alimci, anamtui, aduh huai",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delilah,samson,n,A2,samson | valley | delilah | therefore | heart,,,"samson, gen, bangci, nong, kihen",Hih thu khit ciangin Sorekkuam-ah Delilah a kici numei khat ngai hi.,"And it came to pass afterward, that he loved a woman in the valley of Sorek, whose name was Delilah.",Attested 725× across 2 Bible books.,,1,JDG
delimit,"(v) agamgi bawl, ciangtansak",verb,C2,"(v) agamgi bawl, ciangtansak",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delineate,"(v) gelh, agual gelh, limsuai in lak",verb,C2,"(v) gelh, agual gelh, limsuai in lak",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delineator,(n.): ပုံကြမ်းရေးဆွဲသူ။,,C2,(n.): ပုံကြမ်းရေးဆွဲသူ။,,,,,,,TongDot,,
delinquency,"delinquency, ding leh sep ding bang sep lohna",n,C2,delinquency | ding leh sep ding bang sep lohna | n. hih ding leh sep ding bang sep lohna; leiba kumlui; gamtat khialhna; taangpi omdan ngeina bang lo-a om na. | mawh na bawl na nasep thudon lohna bawl khialhna | hih ding leh sep ding bang sep lohna leiba kumlui gamtat khialhna taangpi omdan ngeina bang lo-a om na,,,,ah Interpreter leh Delinquency Manager na sem in Yangon ah om ingh.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delinquent,"(a) thumanglo, hih ding hih lo, upadi zuilo",adjective,C2,"(a) thumanglo, hih ding hih lo, upadi zuilo",,,,Plastered cack bog-standard hanky panky owt to do with me,,,"TongDot, Tongdot-TKD, Dongdot",,
deliquent,delinquency,adj,C2,"ding bangbang a seem nuam lo mi, gamtat hoih lo mi | delinquency | sep ding bangbang a seem nuam lo mi gamtat hoih lo mi mi bang lo | deliquent | adj. sep ding bangbang a seem nuam lo mi, gamtat hoih lo mi; mi bang lo.",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
